period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:47,"LONATI, ACHILLE",2PA,U18 EA7 Emporio Armani Milan,0,0,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:44,"SUIGO, LUIGI",OREB,U18 EA7 Emporio Armani Milan,0,0,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:41,"CORTELLINO, GIOVANNI",3PM,U18 EA7 Emporio Armani Milan,3,0,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:38,"SUIGO, LUIGI",AST,U18 EA7 Emporio Armani Milan,3,0,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:29,"GARAVAGLIA, DIEGO",PF,U18 EA7 Emporio Armani Milan,3,0,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:29,"BIKIC, JOVAN",PFRecShot,U18 Crvena Zvezda Belgrade,3,0,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:29,"BIKIC, JOVAN",FTM,U18 Crvena Zvezda Belgrade,3,1,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:29,"BIKIC, JOVAN",FTA,U18 Crvena Zvezda Belgrade,3,1,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:29,"SUIGO, LUIGI",DREB,U18 EA7 Emporio Armani Milan,3,1,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
1,09:13,"SUIGO, LUIGI",2PM,U18 EA7 Emporio Armani Milan,5,1,"CECCATO, MATTIA","CORTELLINO, GIOVANNI","GARAVAGLIA, DIEGO","LONATI, ACHILLE","SUIGO, LUIGI","BIKIC, JOVAN","COPIC, MILOS","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR"
