period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:46,"ISAILOVIC, STEFAN",PF,U18 Partizan Mozzart Bet Belgrade,0,0,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,09:46,"NIANG, CHEICKH",PFRec,U18 Dolomiti Energia Trento,0,0,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,09:41,"CURBELO, VALENTIN",TOV,U18 Dolomiti Energia Trento,0,0,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,09:23,"PRELEVIC, MATIJA",2PA,U18 Partizan Mozzart Bet Belgrade,0,0,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,09:21,"HASSAN, PATRICK",DREB,U18 Dolomiti Energia Trento,0,0,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,09:14,"NIANG, CHEICKH",2PM,U18 Dolomiti Energia Trento,0,2,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,08:54,"ISAILOVIC, STEFAN",TOV,U18 Partizan Mozzart Bet Belgrade,0,2,"DANILOVIC, UROS","ISAILOVIC, STEFAN","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,08:32,"PLACINSCHI, CESARE",2PM,U18 Dolomiti Energia Trento,0,4,"DANILOVIC, UROS","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIRKOVIC, ZIVKO","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,08:31,"HASSAN, PATRICK",AST,U18 Dolomiti Energia Trento,0,4,"DANILOVIC, UROS","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIRKOVIC, ZIVKO","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
1,08:19,"MIRKOVIC, ZIVKO",2PA,U18 Partizan Mozzart Bet Belgrade,0,4,"DANILOVIC, UROS","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIRKOVIC, ZIVKO","SIJARIC, DARIS","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE"
