period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:52,"NIANG, CHEICKH",TOV,U18 Dolomiti Energia Trento,0,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:36,"HOUINDO, CAMERON",2PM,U18 Pole France INSEP Paris,2,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:36,"KOUAKOU-HEUGUE, NOA",AST,U18 Pole France INSEP Paris,2,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:35,"FALL, OUMAR",PF,U18 Dolomiti Energia Trento,2,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:35,"HOUINDO, CAMERON",PFRecShot,U18 Pole France INSEP Paris,2,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:35,"HOUINDO, CAMERON",FTM,U18 Pole France INSEP Paris,3,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:14,"CURBELO, VALENTIN",3PA,U18 Dolomiti Energia Trento,3,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:10,"SOLIMAN, NATHAN",DREB,U18 Pole France INSEP Paris,3,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:05,"MAHOP, MATTHYS",2PA,U18 Pole France INSEP Paris,3,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
1,09:04,"KOUAKOU-HEUGUE, NOA",OREB,U18 Pole France INSEP Paris,3,0,"HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO","CURBELO, VALENTIN","FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","TRIGGIANI, VITTORIO"
