period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:52,"LACHMANOVICH, ARBEL",PF,U18 Maccabi Tel Aviv,0,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:52,"LUCIC, ANDREJ",PFRec,U18 Crvena Zvezda Belgrade,0,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"LUCIC, ANDREJ",2PM,U18 Crvena Zvezda Belgrade,2,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"LACHMANOVICH, ARBEL",2PA,U18 Maccabi Tel Aviv,2,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"STOJKOVIC, LAZAR",DREB,U18 Crvena Zvezda Belgrade,2,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"SHALMON, IFTAH",PF,U18 Maccabi Tel Aviv,2,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"LUCIC, ANDREJ",PFRecShot,U18 Crvena Zvezda Belgrade,2,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"LUCIC, ANDREJ",FTM,U18 Crvena Zvezda Belgrade,3,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:43,"LUCIC, ANDREJ",FTM,U18 Crvena Zvezda Belgrade,4,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:12,"PAVLOVIC, NOVAK",PF,U18 Crvena Zvezda Belgrade,4,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:12,"LACHMANOVICH, ARBEL",PFRec,U18 Maccabi Tel Aviv,4,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,09:01,"GOLD, TAMIR",3PA,U18 Maccabi Tel Aviv,4,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,08:59,"PAVLOVIC, NOVAK",DREB,U18 Crvena Zvezda Belgrade,4,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
1,08:52,"LUCIC, ANDREJ",TOV,U18 Crvena Zvezda Belgrade,4,0,"LUCIC, ANDREJ","MARJANOVIC, STEFAN","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ARTMENKO, GABRIEL","DODO, NITAY","GOLD, TAMIR","LACHMANOVICH, ARBEL","SHALMON, IFTAH"
