period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:48,"NIANG, CHEICKH",2PA,U18 Dolomiti Energia Trento,0,0,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:46,"TOMANN, KAUR",DREB,U18 Next Gen Team Belgrade,0,0,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:24,"ZANELLA, DIEGO",PF,U18 Dolomiti Energia Trento,0,0,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:24,"TOWO-NANSI, AARON",PFRec,U18 Next Gen Team Belgrade,0,0,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:14,"ZANELLA, DIEGO",PF,U18 Dolomiti Energia Trento,0,0,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:14,"TOMANN, KAUR",PFRecShot,U18 Next Gen Team Belgrade,0,0,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:14,"TOMANN, KAUR",FTM,U18 Next Gen Team Belgrade,0,1,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:14,"TOMANN, KAUR",FTM,U18 Next Gen Team Belgrade,0,2,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:52,"HASSAN, PATRICK",3PM,U18 Dolomiti Energia Trento,3,2,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:50,"NIANG, CHEICKH",AST,U18 Dolomiti Energia Trento,3,2,"FALL, OUMAR","HASSAN, PATRICK","NIANG, CHEICKH","PLACINSCHI, CESARE","ZANELLA, DIEGO","BOTTELLI, FEDERICO","DEFOUNDOUX, SACHA","PRATO, IVAN","TOMANN, KAUR","TOWO-NANSI, AARON"
