period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:55,"TOWO-NANSI, AARON",2PM,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:55,"GIL , MARTI",PF,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:55,"TOWO-NANSI, AARON",PFRecShot,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:55,"TOWO-NANSI, AARON",FTA,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:55,"MEREBASHVILI, SABA",DREB,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:31,"PETROVICS, HELMUTS",3PA,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:27,"RANDUSKA, BRUNO",DREB,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:15,"NAJI, AKRAM",3PA,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,09:13,TEAM,DREB,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:58,"STOLBETSKIY, DANIIL",PF,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:58,"PLATTEEUW, IAN",PFRecShot,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:58,"PLATTEEUW, IAN",FTA,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:58,"PLATTEEUW, IAN",FTA,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:58,"TOMANN, KAUR",DREB,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:35,"TOWO-NANSI, AARON",2PA,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:32,"PLATTEEUW, IAN",DREB,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:30,"MEREBASHVILI, SABA",TOV,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:24,"TOWO-NANSI, AARON",TOV,U18 Next Gen Team Belgrade,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:22,"GIL , MARTI",STL,U18 Joventut Badalona,0,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:14,"PLATTEEUW, IAN",2PM,U18 Joventut Badalona,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:12,"DEL CASTILLO, ERIC",AST,U18 Joventut Badalona,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,08:00,"TOWO-NANSI, AARON",2PA,U18 Next Gen Team Belgrade,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:58,"PETROVICS, HELMUTS",DREB,U18 Joventut Badalona,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:52,"MEREBASHVILI, SABA",TOV,U18 Joventut Badalona,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:51,"RANDUSKA, BRUNO",STL,U18 Next Gen Team Belgrade,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:46,"RANDUSKA, BRUNO",2PA,U18 Next Gen Team Belgrade,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:45,TEAM,OREB,U18 Next Gen Team Belgrade,2,2,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:36,"RANDUSKA, BRUNO",2PM,U18 Next Gen Team Belgrade,2,4,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:33,"STOLBETSKIY, DANIIL",AST,U18 Next Gen Team Belgrade,2,4,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:26,"PETROVICS, HELMUTS",2PM,U18 Joventut Badalona,4,4,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,07:08,"TOWO-NANSI, AARON",2PM,U18 Next Gen Team Belgrade,4,6,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:57,"RANDUSKA, BRUNO",PF,U18 Next Gen Team Belgrade,4,6,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:57,"PETROVICS, HELMUTS",PFRec,U18 Joventut Badalona,4,6,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","NAJI, AKRAM","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:57,"PETROVICS, HELMUTS",FTM,U18 Joventut Badalona,5,6,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:57,"PETROVICS, HELMUTS",FTM,U18 Joventut Badalona,6,6,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:40,"NAJI, AKRAM",2PM,U18 Next Gen Team Belgrade,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:27,"PLATTEEUW, IAN",2PA,U18 Joventut Badalona,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:25,"STOLBETSKIY, DANIIL",DREB,U18 Next Gen Team Belgrade,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:09,"NAJI, AKRAM",3PA,U18 Next Gen Team Belgrade,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:07,"NAJI, AKRAM",OREB,U18 Next Gen Team Belgrade,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:05,"NAJI, AKRAM",TOV,U18 Next Gen Team Belgrade,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:02,"PLATTEEUW, IAN",STL,U18 Joventut Badalona,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,06:01,"PLATTEEUW, IAN",TOV,U18 Joventut Badalona,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:59,"NAJI, AKRAM",STL,U18 Next Gen Team Belgrade,6,8,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:56,"TOMANN, KAUR",2PM,U18 Next Gen Team Belgrade,6,10,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:54,"NAJI, AKRAM",AST,U18 Next Gen Team Belgrade,6,10,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:36,"MEREBASHVILI, SABA",3PA,U18 Joventut Badalona,6,10,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:36,TEAM,DREB,U18 Next Gen Team Belgrade,6,10,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:36,"PLATTEEUW, IAN",PF,U18 Joventut Badalona,6,10,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:36,"STOLBETSKIY, DANIIL",PFRec,U18 Next Gen Team Belgrade,6,10,"DEL CASTILLO, ERIC","GIL , MARTI","MEREBASHVILI, SABA","PETROVICS, HELMUTS","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:20,"KEKENBOSCH, TERENCE",PF,U18 Joventut Badalona,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:20,"BOTTELLI, FEDERICO",PFRec,U18 Next Gen Team Belgrade,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:12,"TOMANN, KAUR",3PA,U18 Next Gen Team Belgrade,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:08,"STOLBETSKIY, DANIIL",OREB,U18 Next Gen Team Belgrade,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:04,"NAJI, AKRAM",PF,U18 Next Gen Team Belgrade,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:04,"NAJI, AKRAM",TOV,U18 Next Gen Team Belgrade,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:04,"DEL CASTILLO, ERIC",PFRec,U18 Joventut Badalona,6,10,"BALDE, DANIEL","DEL CASTILLO, ERIC","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,05:03,"KEKENBOSCH, TERENCE",2PM,U18 Joventut Badalona,8,10,"BALDE, DANIEL","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,04:39,"GIL , MARTI",PF,U18 Joventut Badalona,8,10,"BALDE, DANIEL","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,04:39,"TOWO-NANSI, AARON",PFRec,U18 Next Gen Team Belgrade,8,10,"BALDE, DANIEL","GIL , MARTI","KEKENBOSCH, TERENCE","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,04:39,"TOWO-NANSI, AARON",FTA,U18 Next Gen Team Belgrade,8,10,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,04:39,"TOWO-NANSI, AARON",FTM,U18 Next Gen Team Belgrade,8,11,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","NAJI, AKRAM","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON"
1,04:39,"KEKENBOSCH, TERENCE",3PA,U18 Joventut Badalona,8,11,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","LAZARSKI, BARTOSZ","NAJI, AKRAM","PRATO, IVAN","STOLBETSKIY, DANIIL"
1,04:39,"BALDE, DANIEL",OREB,U18 Joventut Badalona,8,11,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","LAZARSKI, BARTOSZ","NAJI, AKRAM","PRATO, IVAN","STOLBETSKIY, DANIIL"
1,04:39,"BALDE, DANIEL",TOV,U18 Joventut Badalona,8,11,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","LAZARSKI, BARTOSZ","NAJI, AKRAM","PRATO, IVAN","STOLBETSKIY, DANIIL"
1,04:39,"STOLBETSKIY, DANIIL",STL,U18 Next Gen Team Belgrade,8,11,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","LAZARSKI, BARTOSZ","NAJI, AKRAM","PRATO, IVAN","STOLBETSKIY, DANIIL"
1,04:39,"LAZARSKI, BARTOSZ",3PA,U18 Next Gen Team Belgrade,8,11,"BALDE, DANIEL","KEKENBOSCH, TERENCE","PETROVICS, HELMUTS","PLATTEEUW, IAN","RUIZ, HUMBERTO","BOTTELLI, FEDERICO","LAZARSKI, BARTOSZ","NAJI, AKRAM","PRATO, IVAN","STOLBETSKIY, DANIIL"
