period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:38,"SIJARIC, DARIS",3PA,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:36,TEAM,TOV,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:16,"STOLBETSKIY, DANIIL",2PA,U18 Next Gen Team Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:13,TEAM,OREB,U18 Next Gen Team Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:09,"LAZARSKI, BARTOSZ",3PA,U18 Next Gen Team Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:07,"ILLES, LUCA-IONUT",DREB,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:04,"STOLBETSKIY, DANIIL",PF,U18 Next Gen Team Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:04,"SIJARIC, DARIS",PFRecShot,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:04,"SIJARIC, DARIS",FTA,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:04,"SIJARIC, DARIS",FTA,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:04,TEAM,DREB,U18 Next Gen Team Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:56,"DANILOVIC, UROS",PF,U18 Partizan Mozzart Bet Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:56,"LAZARSKI, BARTOSZ",PFRec,U18 Next Gen Team Belgrade,0,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:49,"TOMANN, KAUR",3PM,U18 Next Gen Team Belgrade,3,0,"LAZARSKI, BARTOSZ","RANDUSKA, BRUNO","STOLBETSKIY, DANIIL","TOMANN, KAUR","TOWO-NANSI, AARON","DANILOVIC, UROS","ILLES, LUCA-IONUT","ISAILOVIC, STEFAN","PRELEVIC, MATIJA","SIJARIC, DARIS"
