period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:35,"PRATO, IVAN",3PA,U18 Next Gen Team Belgrade,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:32,"MAHOP, MATTHYS",DREB,U18 Pole France INSEP Paris,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:28,"MAHOP, MATTHYS",BLKRec,U18 Pole France INSEP Paris,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:28,"MAHOP, MATTHYS",2PA,U18 Pole France INSEP Paris,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:28,"DEFOUNDOUX, SACHA",BLK,U18 Next Gen Team Belgrade,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:26,"YIMGA MOUKOURI, HUGO",OREB,U18 Pole France INSEP Paris,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:26,"YIMGA MOUKOURI, HUGO",2PA,U18 Pole France INSEP Paris,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:26,"TOMANN, KAUR",DREB,U18 Next Gen Team Belgrade,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:26,"MAHOP, MATTHYS",PF,U18 Pole France INSEP Paris,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:26,"TOMANN, KAUR",PFRec,U18 Next Gen Team Belgrade,0,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,09:09,"TOWO-NANSI, AARON",2PM,U18 Next Gen Team Belgrade,2,0,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,08:50,"KOUAKOU-HEUGUE, NOA",2PM,U18 Pole France INSEP Paris,2,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,08:48,"MAHOP, MATTHYS",AST,U18 Pole France INSEP Paris,2,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,08:28,"DEFOUNDOUX, SACHA",2PM,U18 Next Gen Team Belgrade,4,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,08:20,"TOMANN, KAUR",AST,U18 Next Gen Team Belgrade,4,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,08:07,"SOLIMAN, NATHAN",TOV,U18 Pole France INSEP Paris,4,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:43,"PRATO, IVAN",3PA,U18 Next Gen Team Belgrade,4,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:41,"SOLIMAN, NATHAN",DREB,U18 Pole France INSEP Paris,4,2,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:36,"KOUAKOU-HEUGUE, NOA",2PM,U18 Pole France INSEP Paris,4,4,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:36,"TOMANN, KAUR",PF,U18 Next Gen Team Belgrade,4,4,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:36,"KOUAKOU-HEUGUE, NOA",PFRecShot,U18 Pole France INSEP Paris,4,4,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:36,"KOUAKOU-HEUGUE, NOA",FTM,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:09,"TOWO-NANSI, AARON",3PA,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,07:09,TEAM,TOV,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:51,"HOUINDO, CAMERON",TOV,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:48,"RANDUSKA, BRUNO",STL,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:36,"DEFOUNDOUX, SACHA",TOV,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:34,"SOLIMAN, NATHAN",STL,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:31,"SOLIMAN, NATHAN",3PA,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:29,"TOWO-NANSI, AARON",DREB,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:18,"DEFOUNDOUX, SACHA",3PA,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:16,"SOLIMAN, NATHAN",DREB,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,06:01,"YIMGA MOUKOURI, HUGO",2PA,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,05:59,"DEFOUNDOUX, SACHA",DREB,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,05:59,"KOUAKOU-HEUGUE, NOA",PF,U18 Pole France INSEP Paris,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
1,05:59,"DEFOUNDOUX, SACHA",PFRec,U18 Next Gen Team Belgrade,4,5,"DEFOUNDOUX, SACHA","PRATO, IVAN","RANDUSKA, BRUNO","TOMANN, KAUR","TOWO-NANSI, AARON","HOUINDO, CAMERON","KOUAKOU-HEUGUE, NOA","MAHOP, MATTHYS","SOLIMAN, NATHAN","YIMGA MOUKOURI, HUGO"
