local,visitor,period,time,player,action,side,score_home,score_away
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:01,"SUIGO, LUIGI",Def Rebound (5),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:02,"LUCIC, ANDREJ",Missed Two Pointer (0/2 - 0 pt),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:14,"DJURIC, SAVA",Def Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:16,"KAREM, OMAR",Missed Three Pointer (0/2 - 0 pt),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:35,"SUIGO, LUIGI",Def Rebound (4),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:37,"MARJANOVIC, STEFAN",Missed Two Pointer (2/3 - 8 pt),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:43,"MARJANOVIC, STEFAN",Off Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:45,"SUIGO, LUIGI",Block (1),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:47,"LUCIC, ANDREJ",Shot Rejected (1),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:47,"LUCIC, ANDREJ",Missed Two Pointer (0/1 - 0 pt),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:51,"LUCIC, ANDREJ",Def Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,00:53,"GARAVAGLIA, DIEGO",Missed Two Pointer (1/3 - 6 pt),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,01:11,"MARJANOVIC, STEFAN",Free Throw In (4/5 - 8 pt),U18 Crvena Zvezda Belgrade,21,22
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,01:11,"MARJANOVIC, STEFAN",Free Throw In (3/4 - 7 pt),U18 Crvena Zvezda Belgrade,21,21
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,01:11,"GARAVAGLIA, DIEGO",In,U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,01:11,"LONATI, ACHILLE",Out,U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,01:11,"MARJANOVIC, STEFAN",Foul Drawn (3),U18 Crvena Zvezda Belgrade,,
U18 EA7 Emporio Armani Milan,U18 Crvena Zvezda Belgrade,1er Cuarto,01:11,"KAREM, OMAR",Foul (1),U18 EA7 Emporio Armani Milan,,
