local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:01,"MACHETTI, MARIO",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:05,"CURBELO, VALENTIN",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:05,"DODO, NITAY",Foul (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"LUMENA, PRINCE",Def Rebound (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"DODO, NITAY",Missed Free Throw (0/1 - 2 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"NIANG, CHEICKH",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"HASSAN, PATRICK",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"ASHKENAZI, KEREM",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"ARTMENKO, GABRIEL",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"LACHMANOVICH, ARBEL",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"STOLLER, ROM",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"DODO, NITAY",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"LUMENA, PRINCE",Foul (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:17,"DODO, NITAY",Two Pointer (1/1 - 2 pt),U18 Maccabi Tel Aviv,15,13
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:33,"ARTMENKO, GABRIEL",Steal (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,00:35,"CURBELO, VALENTIN",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:01,"LACHMANOVICH, ARBEL",Assist (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:03,"ARTMENKO, GABRIEL",Two Pointer (3/6 - 6 pt),U18 Maccabi Tel Aviv,13,13
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:12,"ARTMENKO, GABRIEL",Def Rebound (4),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:13,"TRIGGIANI, VITTORIO",Missed Two Pointer (0/2 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:13,"TRIGGIANI, VITTORIO",Off Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:16,"TRIGGIANI, VITTORIO",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:33,"CURBELO, VALENTIN",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:35,"ARTMENKO, GABRIEL",Missed Two Pointer (2/5 - 4 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"PLACINSCHI, CESARE",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"CURBELO, VALENTIN",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"BARAK, ERAN",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"DODO, NITAY",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"PLACINSCHI, CESARE",Turnover (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:01,"MACHETTI, MARIO",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:03,"TRIGGIANI, VITTORIO",Block (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:04,"LACHMANOVICH, ARBEL",Shot Rejected (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:04,"LACHMANOVICH, ARBEL",Missed Two Pointer (1/3 - 3 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:20,"ARTMENKO, GABRIEL",Def Rebound (3),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:22,"PLACINSCHI, CESARE",Missed Three Pointer (0/1 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:30,"LUMENA, PRINCE",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:33,"ARTMENKO, GABRIEL",Missed Two Pointer (2/4 - 4 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:41,"LACHMANOVICH, ARBEL",Def Rebound (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:43,"LUMENA, PRINCE",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:57,"HASSAN, PATRICK",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,02:57,"LACHMANOVICH, ARBEL",Foul (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:03,"FALL, OUMAR",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:03,"LUMENA, PRINCE",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:03,"AGAMI, ELI",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:03,"GOLD, TAMIR",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:03,"MACHETTI, MARIO",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:03,"GOLD, TAMIR",Foul (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:06,"FALL, OUMAR",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:09,"LACHMANOVICH, ARBEL",Missed Three Pointer (0/1 - 3 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:16,"ARTMENKO, GABRIEL",Def Rebound (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:18,"HASSAN, PATRICK",Missed Three Pointer (1/2 - 5 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:35,"SHALMON, IFTAH",Two Pointer (1/3 - 2 pt),U18 Maccabi Tel Aviv,11,13
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:44,"SHALMON, IFTAH",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,03:46,"PLACINSCHI, CESARE",Missed Two Pointer (2/3 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:01,"HASSAN, PATRICK",Steal (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:03,"LACHMANOVICH, ARBEL",Turnover (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:14,"MACHETTI, MARIO",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:14,"TRIGGIANI, VITTORIO",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:14,"TRIGGIANI, TOBIA",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:14,"NIANG, CHEICKH",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:22,"ARTMENKO, GABRIEL",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:25,"TRIGGIANI, TOBIA",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:47,"PLACINSCHI, CESARE",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,04:49,"ARTMENKO, GABRIEL",Missed Two Pointer (2/3 - 4 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:08,"LACHMANOVICH, ARBEL",Foul Drawn (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:08,"FALL, OUMAR",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:08,"FALL, OUMAR",Offensive Foul (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:20,"LACHMANOVICH, ARBEL",Free Throw In (1/1 - 3 pt),U18 Maccabi Tel Aviv,9,13
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:20,"LACHMANOVICH, ARBEL",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:20,"TRIGGIANI, TOBIA",Foul (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:20,"LACHMANOVICH, ARBEL",Two Pointer (1/2 - 2 pt),U18 Maccabi Tel Aviv,8,13
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:28,"HASSAN, PATRICK",Three Pointer (1/1 - 5 pt),U18 Dolomiti Energia Trento,6,13
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,05:49,"BARAK, ERAN",Turnover (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,06:04,"NIANG, CHEICKH",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,06:12,"ARTMENKO, GABRIEL",Two Pointer (2/2 - 4 pt),U18 Maccabi Tel Aviv,6,10
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,06:12,"ARTMENKO, GABRIEL",Off Rebound (1),U18 Maccabi Tel Aviv,,
