local,visitor,period,time,player,action,side,score_home,score_away
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:01,"MACHETTI, MARIO",Missed Three Pointer (0/2 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:02,"DANILOVIC, UROS",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:02,"ISAILOVIC, STEFAN",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:02,"NIANG, CHEICKH",Foul Drawn (4),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:02,"ISAILOVIC, STEFAN",Turnover (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:02,"ISAILOVIC, STEFAN",Offensive Foul (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:03,"PRELEVIC, MATIJA",Def Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:07,"NIANG, CHEICKH",Missed Three Pointer (0/2 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"JOVANOVIC, MARKO",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"SIJARIC, DARIS",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"SIJARIC, DARIS",Free Throw In (4/6 - 4 pt),U18 Partizan Mozzart Bet Belgrade,15,16
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"SIJARIC, DARIS",Free Throw In (3/5 - 3 pt),U18 Partizan Mozzart Bet Belgrade,14,16
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"SIJARIC, DARIS",Foul Drawn (3),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"TRIGGIANI, TOBIA",Foul (1),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"SIJARIC, DARIS",Off Rebound (5),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:33,"BOJOVIC, LUKAS NIKOLA",Missed Two Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,00:51,"NIANG, CHEICKH",Turnover (2),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:11,"BOJOVIC, LUKAS NIKOLA",Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"ISAILOVIC, STEFAN",Off Rebound (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"SIJARIC, DARIS",Missed Free Throw (2/4 - 2 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"SIJARIC, DARIS",Missed Free Throw (2/3 - 2 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"PLACINSCHI, CESARE",In,U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"TRIGGIANI, TOBIA",In,U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"CURBELO, VALENTIN",Out,U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"CLAPS, MATTIA",Out,U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"NIANG, CHEICKH",In,U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"HASSAN, PATRICK",Out,U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"PRELEVIC, MATIJA",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"KOJIC, ALEKSA",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"SIJARIC, DARIS",Foul Drawn (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:17,"MACHETTI, MARIO",Foul (1),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:31,"SIJARIC, DARIS",Def Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:34,"MACHETTI, MARIO",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:41,"CURBELO, VALENTIN",Off Rebound (1),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:43,"CLAPS, MATTIA",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:57,"BOJOVIC, LUKAS NIKOLA",Assist (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"ISAILOVIC, STEFAN",Two Pointer (2/2 - 4 pt),U18 Partizan Mozzart Bet Belgrade,13,16
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:22,"LUMENA, PRINCE",Two Pointer (1/1 - 2 pt),U18 Dolomiti Energia Trento,11,16
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:36,"LUMENA, PRINCE",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:38,"SIJARIC, DARIS",Missed Two Pointer (0/6 - 2 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:47,"MIJAILOVIC, UROS",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:47,"DANILOVIC, UROS",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:47,"CLAPS, MATTIA",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:47,"CLAPS, MATTIA",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Partizan Mozzart Bet Belgrade,U18 Dolomiti Energia Trento,1er Cuarto,02:47,"DANILOVIC, UROS",Missed Two Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
