local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:01,"MACHETTI, MARIO",Missed Three Pointer (0/1 - 1 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:10,"TRIGGIANI, TOBIA",Out,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:10,"HASSAN, PATRICK",In,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:10,"SOLIMAN, NATHAN",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:10,"ALLARD, YANNIS",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:10,"VADO, KENY",Turnover (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:12,"FAYE, MEISSA",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:16,"GABRIEL DES BORDES, NATEO",Missed Three Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"NIANG, CHEICKH",Assist (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"MACHETTI, MARIO",Free Throw In (1/2 - 1 pt),U18 Dolomiti Energia Trento,19,6
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"MACHETTI, MARIO",Missed Free Throw (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"MACHETTI, MARIO",Foul Drawn (2),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:32,"VADO, KENY",Foul (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:45,"ELOUMA, JUNIOR",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:47,"SOLIMAN, NATHAN",Two Pointer (5/7 - 10 pt),U18 Pole France INSEP Paris,19,5
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:51,"ELOUMA, JUNIOR",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,00:54,"SOLIMAN, NATHAN",Missed Two Pointer (4/6 - 8 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:04,"SOLIMAN, NATHAN",Def Rebound (4),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:07,"LUMENA, PRINCE",Missed Free Throw (0/2 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:07,"LUMENA, PRINCE",Missed Free Throw (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
