local,visitor,period,time,player,action,side,score_home,score_away
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:01,"KAREM, OMAR",Missed Three Pointer (0/2 - 0 pt),U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:16,"BALDE, DANIEL",Turnover (2),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:27,"CECCATO, MATTIA",In,U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:27,"LONATI, ACHILLE",Out,U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:27,"GIL , MARTI",In,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:27,"RUIZ, HUMBERTO",Out,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:20,"LONATI, ACHILLE",Free Throw In (2/3 - 12 pt),U18 EA7 Emporio Armani Milan,11,27
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:20,"LONATI, ACHILLE",Missed Free Throw (1/2 - 11 pt),U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:20,"LONATI, ACHILLE",Foul Drawn (2),U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:20,"RUIZ, HUMBERTO",Foul (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:22,"KAREM, OMAR",Def Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:22,"EL HADJI, MBOW",Block (1),U18 EA7 Emporio Armani Milan,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:22,"PLATTEEUW, IAN",Shot Rejected (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:22,"PLATTEEUW, IAN",Missed Two Pointer (1/6 - 3 pt),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 EA7 Emporio Armani Milan,1er Cuarto,00:33,"PLATTEEUW, IAN",Off Rebound (2),U18 Joventut Badalona,,
