local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,"CORTELLINO, GIOVANNI",Foul Drawn (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,"SHALMON, IFTAH",Turnover (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,"SHALMON, IFTAH",Offensive Foul (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,,Off Rebound (3),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,"LONATI, ACHILLE",Block (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,"BERG, ROEE",Shot Rejected (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:02,"BERG, ROEE",Missed Two Pointer (1/2 - 2 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:16,"BELLINASO, WERTHER",Assist (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:18,"GARAVAGLIA, DIEGO",Two Pointer (1/2 - 4 pt),U18 EA7 Emporio Armani Milan,21,23
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:36,"BELLINASO, WERTHER",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:36,"YOUSSEF, GUGLIELMO",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,00:36,"LACHMANOVICH, ARBEL",Out,U18 Maccabi Tel Aviv,,
