local,visitor,period,time,player,action,side,score_home,score_away
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:02,"RUIZ, HUMBERTO",Missed Two Pointer (0/1 - 0 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:04,"PAVLOVIC, NOVAK",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:04,"MORAVCEVIC, MATIJA",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:04,"NEDELJKOVIC, ALEKSEJ",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:04,"DRAGICEVIC, STRAHINJA",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:04,"PETROVICS, HELMUTS",Foul Drawn (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:04,"MARJANOVIC, STEFAN",Foul (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:15,"PAVLOVIC, NOVAK",Assist (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:17,"BIKIC, JOVAN",Two Pointer (1/1 - 2 pt),U18 Crvena Zvezda Belgrade,25,13
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:21,"PAVLOVIC, NOVAK",Def Rebound (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:23,"PETROVICS, HELMUTS",Missed Two Pointer (2/4 - 4 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:29,"MEREBASHVILI, SABA",In,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:29,"DEL CASTILLO, ERIC",Out,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:29,"MARJANOVIC, STEFAN",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:29,"STOJKOVIC, LAZAR",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:29,"RUIZ, HUMBERTO",Foul Drawn (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,00:29,"PAVLOVIC, NOVAK",Foul (1),U18 Crvena Zvezda Belgrade,,
