local,visitor,period,time,player,action,side,score_home,score_away
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:02,"LUCIC, ANDREJ",Missed Three Pointer (0/2 - 6 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"BARAK, ERAN",Free Throw In (4/5 - 6 pt),U18 Maccabi Tel Aviv,20,16
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"BARAK, ERAN",Free Throw In (3/4 - 5 pt),U18 Maccabi Tel Aviv,20,15
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"ARTMENKO, GABRIEL",Out,U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"AGAMI, ELI",In,U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"LUCIC, ANDREJ",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"NEDELJKOVIC, ALEKSEJ",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"BARAK, ERAN",Foul Drawn (3),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:06,"DJURIC, SAVA",Foul (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:07,"BARAK, ERAN",Off Rebound (1),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:08,"BARAK, ERAN",Missed Two Pointer (1/2 - 4 pt),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:28,"ASHKENAZI, KEREM",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:30,"STOJKOVIC, LAZAR",Missed Two Pointer (3/4 - 7 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:54,"BARAK, ERAN",Two Pointer (1/1 - 4 pt),U18 Maccabi Tel Aviv,20,14
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:56,"BARAK, ERAN",Steal (2),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,00:58,"BIKIC, JOVAN",Turnover (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:14,"STOJKOVIC, LAZAR",Def Rebound (3),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:16,"ASHKENAZI, KEREM",Missed Two Pointer (1/2 - 2 pt),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:27,"BIKIC, JOVAN",Assist (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:29,"STOJKOVIC, LAZAR",Two Pointer (3/3 - 7 pt),U18 Crvena Zvezda Belgrade,20,12
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"AGAMI, ELI",Out,U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"STOLLER, ROM",In,U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"MARJANOVIC, STEFAN",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"DJURIC, SAVA",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"LUCIC, ANDREJ",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"COPIC, MILOS",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:41,"BERG, ROEE",Turnover (1),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:53,"BARAK, ERAN",Def Rebound (2),U18 Maccabi Tel Aviv,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:55,"NEDELJKOVIC, ALEKSEJ",Missed Three Pointer (0/2 - 2 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Maccabi Tel Aviv,1er Cuarto,01:57,"BIKIC, JOVAN",Off Rebound (1),U18 Crvena Zvezda Belgrade,,
