local,visitor,period,time,player,action,side,score_home,score_away
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,00:01,"BERMEJO, PAU",Missed Two Pointer (0/1 - 0 pt),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,00:09,"SHALMON, IFTAH",Two Pointer (1/2 - 2 pt),U18 Maccabi Tel Aviv,21,17
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,00:32,"BALDE, DANIEL",Two Pointer (2/2 - 4 pt),U18 Joventut Badalona,21,15
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,00:52,"DODO, NITAY",Two Pointer (1/1 - 2 pt),U18 Maccabi Tel Aviv,19,15
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:12,"GIL , MARTI",Two Pointer (1/1 - 2 pt),U18 Joventut Badalona,19,13
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:29,"BERG, ROEE",Turnover (1),U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:40,"GOLD, TAMIR",Steal (1),U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:40,"GIL , MARTI",Turnover (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:47,"BALDE, DANIEL",Def Rebound (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:47,"SHALMON, IFTAH",Missed Two Pointer (0/1 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:56,"BARAK, ERAN",Out,U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:56,"DODO, NITAY",In,U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:56,"BERMEJO, PAU",In,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:56,"PLATTEEUW, IAN",Out,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:56,"BARAK, ERAN",Foul Drawn (2),U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,01:56,"DEL CASTILLO, ERIC",Foul (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:07,"PLATTEEUW, IAN",Two Pointer (2/2 - 4 pt),U18 Joventut Badalona,17,13
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:24,"BERG, ROEE",Two Pointer (1/1 - 2 pt),U18 Maccabi Tel Aviv,15,13
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:33,"BERG, ROEE",Steal (1),U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:34,"BALDE, DANIEL",Turnover (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"SHALMON, IFTAH",In,U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"ARTMENKO, GABRIEL",Out,U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"LACHMANOVICH, ARBEL",Out,U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"GOLD, TAMIR",In,U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"PETROVICS, HELMUTS",Out,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"BATLLE, PAU",In,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"GIL , MARTI",Foul Drawn (1),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:39,"LACHMANOVICH, ARBEL",Foul (1),U18 Maccabi Tel Aviv,,
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,02:57,"LACHMANOVICH, ARBEL",Two Pointer (2/3 - 6 pt),U18 Maccabi Tel Aviv,15,11
U18 Joventut Badalona,U18 Maccabi Tel Aviv,1er Cuarto,03:20,"PLATTEEUW, IAN",Two Pointer (1/1 - 2 pt),U18 Joventut Badalona,15,9
