local,visitor,period,time,player,action,side,score_home,score_away
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:02,"LAZARSKI, BARTOSZ",Def Rebound (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:02,"MACHETTI, MARIO",Missed Two Pointer (2/4 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:10,"TRIGGIANI, TOBIA",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:10,"LAZARSKI, BARTOSZ",Foul (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:19,"STOLBETSKIY, DANIIL",Assist (2),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:23,"ACUNZO, THOMAS",Two Pointer (2/2 - 4 pt),U18 Next Gen Team Belgrade,16,24
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:25,"STOLBETSKIY, DANIIL",Off Rebound (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:30,"NAJI, AKRAM",Missed Two Pointer (0/2 - 1 pt),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:51,"KATANOVIC, BORNA",Def Rebound (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,00:54,"MACHETTI, MARIO",Missed Two Pointer (2/3 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:04,"NAJI, AKRAM",Free Throw In (1/2 - 1 pt),U18 Next Gen Team Belgrade,16,22
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:04,"NAJI, AKRAM",Missed Free Throw (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:04,"NAJI, AKRAM",Foul Drawn (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:04,"MACHETTI, MARIO",Foul (1),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:04,"NAJI, AKRAM",Off Rebound (2),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:04,"STOLBETSKIY, DANIIL",Missed Two Pointer (0/2 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:19,"TRIGGIANI, TOBIA",In,U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:19,"CURBELO, VALENTIN",Out,U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:19,"DORIGOTTI, NICOLA",In,U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:19,"HASSAN, PATRICK",Out,U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:19,"CURBELO, VALENTIN",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:31,"ACUNZO, THOMAS",Two Pointer (1/1 - 2 pt),U18 Next Gen Team Belgrade,16,21
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:31,"ACUNZO, THOMAS",Off Rebound (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:34,"STOLBETSKIY, DANIIL",Missed Two Pointer (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,01:44,"NAJI, AKRAM",Off Rebound (1),U18 Next Gen Team Belgrade,,
