local,visitor,period,time,player,action,side,score_home,score_away
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:01,"BALDE, DANIEL",Missed Three Pointer (0/1 - 4 pt),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:04,"KATANOVIC, BORNA",Two Pointer (1/1 - 2 pt),U18 Next Gen Team Belgrade,22,20
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:14,"TOWO-NANSI, AARON",Steal (1),U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:16,"BALDE, DANIEL",Turnover (2),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:27,"TOWO-NANSI, AARON",Assist (1),U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:30,"DEFOUNDOUX, SACHA",Three Pointer (1/1 - 3 pt),U18 Next Gen Team Belgrade,22,18
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:38,"GULIC, DJORDJE",Def Rebound (1),U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:41,"PETROVICS, HELMUTS",Missed Two Pointer (2/3 - 6 pt),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:51,,Off Rebound (2),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,00:50,"BALDE, DANIEL",Missed Two Pointer (2/3 - 4 pt),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"TOMANN, KAUR",In,U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"GULIC, DJORDJE",In,U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"ACUNZO, THOMAS",Out,U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"PRATO, IVAN",Out,U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"BERMEJO, PAU",In,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"PLATTEEUW, IAN",Out,U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"RUIZ, HUMBERTO",Foul Drawn (2),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"PRATO, IVAN",Turnover (2),U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:06,"PRATO, IVAN",Offensive Foul (1),U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:08,"BALDE, DANIEL",Two Pointer (2/2 - 4 pt),U18 Joventut Badalona,22,15
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:27,"PRATO, IVAN",Two Pointer (2/3 - 4 pt),U18 Next Gen Team Belgrade,20,15
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:47,,Time Out (1),U18 Next Gen Team Belgrade,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:47,"PETROVICS, HELMUTS",Assist (2),U18 Joventut Badalona,,
U18 Joventut Badalona,U18 Next Gen Team Belgrade,1er Cuarto,01:47,"RUIZ, HUMBERTO",Two Pointer (1/1 - 4 pt),U18 Joventut Badalona,20,13
