local,visitor,period,time,player,action,side,score_home,score_away
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:02,"GUJANICIC, SIBIN",Missed Two Pointer (0/3 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:02,"MIRKOVIC, ZIVKO",Foul Drawn (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:02,"PAVLOVIC, NOVAK",Foul (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:05,"SUSA, IGOR",Foul Drawn (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:05,"MARJANOVIC, STEFAN",Turnover (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:05,"MARJANOVIC, STEFAN",Offensive Foul (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:17,"MIRKOVIC, ZIVKO",Assist (3),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:20,"KOJIC, ALEKSA",Three Pointer (1/1 - 5 pt),U18 Partizan Mozzart Bet Belgrade,10,23
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:31,"SUSA, IGOR",Def Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"BIKIC, JOVAN",Missed Free Throw (1/2 - 1 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"BIKIC, JOVAN",Free Throw In (1/1 - 1 pt),U18 Crvena Zvezda Belgrade,10,20
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"LUCIC, ANDREJ",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"NEDELJKOVIC, ALEKSEJ",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"BIKIC, JOVAN",Foul Drawn (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"GUJANICIC, SIBIN",Foul (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"BIKIC, JOVAN",Def Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"GUJANICIC, SIBIN",Missed Two Pointer (0/2 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:40,"GUJANICIC, SIBIN",Off Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:41,"DJURIC, SAVA",Block (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:44,"GUJANICIC, SIBIN",Shot Rejected (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:44,"GUJANICIC, SIBIN",Missed Two Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:05,"SUSA, IGOR",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:05,"SIJARIC, DARIS",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:05,"DJURIC, SAVA",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:05,"STOJKOVIC, LAZAR",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:05,"MARJANOVIC, STEFAN",Free Throw In (3/4 - 5 pt),U18 Crvena Zvezda Belgrade,9,20
U18 Crvena Zvezda Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:05,"STOJKOVIC, LAZAR",Assist (1),U18 Crvena Zvezda Belgrade,,
