local,visitor,period,time,player,action,side,score_home,score_away
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:01,"NAJI, AKRAM",Three Pointer (1/2 - 9 pt),U18 Next Gen Team Belgrade,19,13
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:14,"KATANOVIC, BORNA",Steal (2),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:16,"GUJANICIC, SIBIN",Turnover (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:23,"BOJOVIC, LUKAS NIKOLA",Free Throw In (1/2 - 1 pt),U18 Partizan Mozzart Bet Belgrade,16,13
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:23,"BOJOVIC, LUKAS NIKOLA",Missed Free Throw (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:23,"BOJOVIC, LUKAS NIKOLA",Foul Drawn (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:23,"DEFOUNDOUX, SACHA",Unsportsmanlike Foul (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:24,"BOJOVIC, LUKAS NIKOLA",Steal (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:25,"BOTTELLI, FEDERICO",Turnover (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:28,"KATANOVIC, BORNA",Steal (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:30,"GUJANICIC, SIBIN",Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:51,"NAJI, AKRAM",Free Throw In (2/2 - 6 pt),U18 Next Gen Team Belgrade,16,12
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:51,"NAJI, AKRAM",Free Throw In (1/1 - 5 pt),U18 Next Gen Team Belgrade,15,12
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:51,"NAJI, AKRAM",Foul Drawn (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:51,"MIJAILOVIC, UROS",Foul (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Next Gen Team Belgrade,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:54,"BOTTELLI, FEDERICO",Foul Drawn (2),U18 Next Gen Team Belgrade,,
