local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:01,"MAHOP, MATTHYS",Missed Three Pointer (0/1 - 3 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:03,"JOVANOVIC, MARKO",Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:03,"JOVANOVIC, MARKO",Steal (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:03,"MAHOP, MATTHYS",Turnover (3),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:21,"JOVANOVIC, MARKO",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:21,"SIJARIC, DARIS",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:21,"ISAILOVIC, STEFAN",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:21,"BOJOVIC, LUKAS NIKOLA",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:22,,Turnover (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:22,"PRELEVIC, MATIJA",Off Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:23,"BOJOVIC, LUKAS NIKOLA",Missed Two Pointer (1/2 - 4 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:44,"MIJAILOVIC, UROS",Def Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,00:48,"NTOWOA, ELIE",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:06,"DANILOVIC, UROS",Two Pointer (2/5 - 5 pt),U18 Partizan Mozzart Bet Belgrade,18,15
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:31,"MAHOP, MATTHYS",Free Throw In (1/2 - 3 pt),U18 Pole France INSEP Paris,18,13
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:31,"MAHOP, MATTHYS",Missed Free Throw (0/1 - 2 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:31,"PRELEVIC, MATIJA",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:31,"KOJIC, ALEKSA",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:31,"MAHOP, MATTHYS",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:31,"KOJIC, ALEKSA",Foul (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:33,"MAHOP, MATTHYS",Def Rebound (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:36,"BOJOVIC, LUKAS NIKOLA",Missed Three Pointer (0/1 - 4 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,01:56,"SOLIMAN, NATHAN",Assist (1),U18 Pole France INSEP Paris,,
