local,visitor,period,time,player,action,side,score_home,score_away
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:01,"SUIGO, LUIGI",Missed Three Pointer (0/2 - 4 pt),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:01,"SUIGO, LUIGI",Def Rebound (4),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:01,"SUIGO, LUIGI",Block (1),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:01,"MASDIEU-REYNAERT, YAEL",Shot Rejected (1),U18 Pole France INSEP Paris,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:01,"MASDIEU-REYNAERT, YAEL",Missed Two Pointer (0/2 - 1 pt),U18 Pole France INSEP Paris,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:24,"ELOUMA, JUNIOR",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:26,"YOUSSEF, GUGLIELMO",Missed Three Pointer (0/1 - 0 pt),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:33,"SUIGO, LUIGI",Def Rebound (3),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:35,"YIMGA MOUKOURI, HUGO",Missed Three Pointer (1/2 - 8 pt),U18 Pole France INSEP Paris,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:56,"GARAVAGLIA, DIEGO",Two Pointer (2/3 - 4 pt),U18 EA7 Emporio Armani Milan,11,21
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,00:59,"GARAVAGLIA, DIEGO",Steal (3),U18 EA7 Emporio Armani Milan,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,01:01,"NTOWOA, ELIE",Turnover (1),U18 Pole France INSEP Paris,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,01:02,"NTOWOA, ELIE",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 EA7 Emporio Armani Milan,U18 Pole France INSEP Paris,1er Cuarto,01:05,"MASDIEU-REYNAERT, YAEL",Missed Two Pointer (0/1 - 1 pt),U18 Pole France INSEP Paris,,
