local,visitor,period,time,player,action,side,score_home,score_away
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:00,"NTOWOA, ELIE",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:01,"BOTTELLI, FEDERICO",Missed Three Pointer (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:19,"YIMGA MOUKOURI, HUGO",Free Throw In (1/1 - 3 pt),U18 Pole France INSEP Paris,12,19
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:19,"YIMGA MOUKOURI, HUGO",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:19,"ACUNZO, THOMAS",Foul (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:19,"MASDIEU-REYNAERT, YAEL",Assist (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:19,"YIMGA MOUKOURI, HUGO",Two Pointer (1/3 - 2 pt),U18 Pole France INSEP Paris,12,18
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:33,"BOTTELLI, FEDERICO",Turnover (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:38,"ACUNZO, THOMAS",Def Rebound (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:44,"YIMGA MOUKOURI, HUGO",Missed Three Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:53,"NTOWOA, ELIE",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,00:53,"LAZARSKI, BARTOSZ",Foul (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"ACUNZO, THOMAS",Free Throw In (1/2 - 1 pt),U18 Next Gen Team Belgrade,12,16
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"ACUNZO, THOMAS",Missed Free Throw (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"FAYE, MEISSA",In,U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"SOLIMAN, NATHAN",Out,U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"NAJI, AKRAM",Out,U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"BOTTELLI, FEDERICO",In,U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"ACUNZO, THOMAS",Foul Drawn (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"YIMGA MOUKOURI, HUGO",Foul (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"ACUNZO, THOMAS",Off Rebound (2),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"ACUNZO, THOMAS",Missed Two Pointer (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"ACUNZO, THOMAS",Off Rebound (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,"NAJI, AKRAM",Missed Two Pointer (1/3 - 2 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:13,,Off Rebound (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:14,"NAJI, AKRAM",Missed Two Pointer (1/2 - 2 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:26,"MASDIEU-REYNAERT, YAEL",Two Pointer (1/1 - 2 pt),U18 Pole France INSEP Paris,11,16
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:37,"YIMGA MOUKOURI, HUGO",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,01:41,"STOLBETSKIY, DANIIL",Missed Three Pointer (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:01,"HOUINDO, CAMERON",Out,U18 Pole France INSEP Paris,,
