team_name,#,Player,GP,GS,Min,PTS,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
U18 Crvena Zvezda Belgrade,1,STRAHINJA DRAGICEVIC,4,0,24:12,0,0,2,0,0,0,4,0,3,3,1,0,4,0,2,7,3,-12
U18 Crvena Zvezda Belgrade,2,MILOS COPIC,4,2,68:28,8,1,1,2,10,0,0,2,3,5,3,2,3,0,0,5,0,2
U18 Crvena Zvezda Belgrade,3,ALEKSEJ NEDELJKOVIC,4,4,114:38,28,7,13,2,8,8,10,2,10,12,9,4,7,4,1,8,9,36
U18 Crvena Zvezda Belgrade,4,ANDREJ LUCIC,4,3,98:51,50,15,24,4,14,8,11,1,13,14,7,4,12,0,2,8,15,46
U18 Crvena Zvezda Belgrade,5,LAZAR STOJKOVIC,4,4,126:57,52,16,31,2,10,14,18,4,28,32,13,3,11,12,0,9,16,81
U18 Crvena Zvezda Belgrade,6,SAVA DJURIC,4,0,31:47,6,3,5,0,0,0,0,4,8,12,2,0,4,5,0,2,4,21
U18 Crvena Zvezda Belgrade,7,JOVAN BIKIC,4,1,94:11,44,7,17,6,10,12,19,3,15,18,13,2,12,0,0,8,19,55
U18 Crvena Zvezda Belgrade,8,MATIJA MORAVCEVIC,4,0,30:18,17,2,3,4,7,1,1,0,1,1,2,0,2,0,1,4,1,10
U18 Crvena Zvezda Belgrade,9,NOVAK PAVLOVIC,4,4,106:06,29,7,10,2,8,9,11,4,12,16,6,7,11,0,1,11,10,34
U18 Crvena Zvezda Belgrade,10,STEFAN MARJANOVIC,4,2,96:36,71,15,28,8,16,17,32,6,15,21,4,7,11,5,2,5,21,75
U18 Crvena Zvezda Belgrade,11,DUSAN MILOSAVLJEVIC,1,0,5:06,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,-1
U18 Crvena Zvezda Belgrade,12,TADIJA NEDELJKOVIC,2,0,2:50,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,-1
U18 Dolomiti Energia Trento,1,PATRICK HASSAN,4,4,144:44,51,6,26,12,26,3,7,2,7,9,20,9,17,0,1,7,16,42
U18 Dolomiti Energia Trento,2,NICOLA DORIGOTTI,4,0,35:16,9,0,0,3,12,0,0,0,0,0,2,2,4,0,0,0,0,0
U18 Dolomiti Energia Trento,3,CHEICKH NIANG,4,4,87:57,28,9,19,2,14,4,5,4,15,19,3,5,13,4,2,9,11,23
U18 Dolomiti Energia Trento,4,MATTIA CLAPS,4,0,11:35,0,0,0,0,2,0,0,1,3,4,0,1,1,0,0,3,1,0
U18 Dolomiti Energia Trento,5,VALENTIN CURBELO,4,2,54:12,12,5,10,0,6,2,6,2,2,4,4,2,7,0,1,3,9,5
U18 Dolomiti Energia Trento,6,PRINCE LUMENA,4,0,68:49,23,10,19,0,0,3,5,5,11,16,0,1,2,0,0,6,4,25
U18 Dolomiti Energia Trento,7,DIEGO ZANELLA,4,1,13:18,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,2,0,0
U18 Dolomiti Energia Trento,8,TOBIA TRIGGIANI,4,1,27:29,3,1,2,0,5,1,2,0,3,3,3,2,1,0,0,5,3,1
U18 Dolomiti Energia Trento,9,CESARE PLACINSCHI,4,3,111:05,34,16,31,0,6,2,3,3,17,20,9,3,7,2,0,11,8,36
U18 Dolomiti Energia Trento,10,OUMAR FALL,4,4,71:31,6,3,6,0,5,0,0,3,16,19,1,1,3,1,0,5,3,15
U18 Dolomiti Energia Trento,11,VITTORIO TRIGGIANI,4,1,70:32,17,6,11,0,6,5,7,11,5,16,4,1,2,1,0,5,5,24
U18 Dolomiti Energia Trento,12,MARIO MACHETTI,4,0,103:32,38,8,18,6,36,4,5,3,5,8,5,2,2,0,1,9,7,7
U18 EA7 Emporio Armani Milan,1,OMAR KAREM,4,0,96:11,30,6,14,6,18,0,0,4,10,14,12,4,7,0,1,9,5,28
U18 EA7 Emporio Armani Milan,2,BAPTISTE CHAUVEAU,3,0,15:59,2,1,2,0,3,0,0,0,0,0,1,0,3,0,0,2,0,-6
U18 EA7 Emporio Armani Milan,3,RICCARDO FORINI,3,0,13:14,5,0,0,1,3,2,2,0,1,1,0,0,2,0,0,1,2,3
U18 EA7 Emporio Armani Milan,4,GUGLIELMO YOUSSEF,4,2,78:21,24,10,21,1,8,1,4,4,10,14,4,2,5,0,0,12,3,9
U18 EA7 Emporio Armani Milan,5,LUIGI SUIGO,4,4,99:36,50,19,38,2,8,6,8,19,26,45,6,9,7,7,2,12,7,76
U18 EA7 Emporio Armani Milan,6,WERTHER BELLINASO,4,0,60:56,20,2,5,5,11,1,3,2,4,6,2,2,0,0,1,9,3,12
U18 EA7 Emporio Armani Milan,7,ACHILLE LONATI,4,4,96:35,63,13,20,11,40,4,5,1,10,11,15,2,13,1,1,12,7,36
U18 EA7 Emporio Armani Milan,8,DIEGO GARAVAGLIA,4,4,102:49,50,15,30,2,13,14,19,3,16,19,17,12,5,0,1,8,17,70
U18 EA7 Emporio Armani Milan,9,GIOVANNI CORTELLINO,4,2,55:41,7,2,6,1,4,0,0,3,6,9,4,2,9,0,0,7,6,5
U18 EA7 Emporio Armani Milan,10,MATTIA CECCATO,4,4,107:47,54,13,25,7,14,7,9,2,10,12,15,7,8,3,0,13,8,57
U18 EA7 Emporio Armani Milan,11,MATTIA GRASSI,3,0,21:38,11,5,8,0,3,1,1,2,2,4,0,3,0,0,0,2,1,11
U18 EA7 Emporio Armani Milan,12,FALLOU MBOW,4,0,51:13,11,5,6,0,0,1,2,7,15,22,0,3,4,4,0,12,4,26
U18 Joventut Badalona,1,ERIC DEL CASTILLO,4,4,104:49,46,17,32,3,4,3,3,6,5,11,9,5,4,1,2,12,7,45
U18 Joventut Badalona,2,DANIEL BALDE,4,0,91:48,29,13,32,1,8,0,0,4,15,19,8,10,12,1,0,10,0,19
U18 Joventut Badalona,3,SABA MEREBASHVILI,4,4,77:32,31,10,17,2,7,5,6,5,11,16,5,4,8,0,3,10,6,28
U18 Joventut Badalona,4,TERENCE KEKENBOSCH,2,0,38:52,22,4,7,3,11,5,6,0,3,3,1,1,7,0,1,2,3,8
U18 Joventut Badalona,5,HUMBERTO RUIZ,4,2,86:37,34,8,15,4,11,6,7,4,5,9,4,9,1,0,1,9,13,43
U18 Joventut Badalona,6,PAU PALLARES,3,0,9:28,2,1,1,0,1,0,0,0,2,2,1,1,0,0,0,3,0,2
U18 Joventut Badalona,7,IAN PLATTEEUW,4,4,136:13,65,30,69,1,2,2,10,29,31,60,17,6,17,1,6,7,15,86
U18 Joventut Badalona,8,PAU BATLLE,4,0,43:51,8,2,5,1,5,1,2,2,4,6,3,3,1,0,1,5,1,6
U18 Joventut Badalona,9,MARTI GIL,4,2,85:29,11,4,6,0,3,3,8,2,2,4,10,7,9,0,1,7,9,14
U18 Joventut Badalona,10,PAU BERMEJO,4,0,10:40,1,0,2,0,0,1,2,0,1,1,0,0,0,0,0,2,1,-2
